exp,budget,strategy,auc,corr_frac
clean,0.05,random,0.897574361218715,
clean,0.05,entropy,0.6570636978844533,
clean,0.05,jepa-kcenter,0.8679920330925659,
clean,0.05,atlas,0.8777209918606852,
clean,0.1,random,0.9134611559008525,
clean,0.1,entropy,0.48689342452838147,
clean,0.1,jepa-kcenter,0.9137131358726645,
clean,0.1,atlas,0.9181655858052086,
clean,0.2,random,0.9247520288004668,
clean,0.2,entropy,0.8058922321446871,
clean,0.2,jepa-kcenter,0.9331553800135274,
clean,0.2,atlas,0.9404206015931402,
clean,0.4,random,0.9464223063762989,
clean,0.4,entropy,0.9528508097720003,
clean,0.4,jepa-kcenter,0.9593118656042515,
clean,0.4,atlas,0.9604946041322304,
poison,0.1,random,0.9020412789008367,0.07941176470588235
poison,0.1,entropy,0.36506532791757235,0.08823529411764706
poison,0.1,jepa-kcenter,0.8551549194568324,0.12058823529411765
poison,0.1,atlas,0.8862991617144765,0.13529411764705881
